taxon_name,total_bases,full_lineage,taxid_lineage,taxid
Streptococcus agalactiae,11237203,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus agalactiae,131567;2;1783272;1239;91061;186826;1300;1301;1311,1311
Staphylococcus equorum,11162979,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus equorum,131567;2;1783272;1239;91061;1385;90964;1279;246432,246432
Streptococcus pyogenes,11099580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pyogenes,131567;2;1783272;1239;91061;186826;1300;1301;1314,1314
Streptococcus dysgalactiae,10984369,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus dysgalactiae group;Streptococcus dysgalactiae,131567;2;1783272;1239;91061;186826;1300;1301;119603;1334,1334
Kluyveromyces marxianus DMKU3-1042,10966467,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kluyveromyces;Kluyveromyces marxianus;Kluyveromyces marxianus DMKU3-1042,131567;2759;33154;4751;451864;4890;716545;147537;4891;4892;4893;4910;4911;1003335,1003335
Escherichia coli O104:H4,10943599,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O104:H4,131567;2;3379134;1224;1236;91347;543;561;562;1038927,1038927
Klebsiella quasipneumoniae,10907874,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella/Raoultella group;Klebsiella;Klebsiella pneumoniae complex;Klebsiella quasipneumoniae,131567;2;3379134;1224;1236;91347;543;2890311;570;3390273;1463165,1463165
Streptococcus gordonii,10883024,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus gordonii,131567;2;1783272;1239;91061;186826;1300;1301;1302,1302
Pluralibacter gergoviae,10847639,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pluralibacter;Pluralibacter gergoviae,131567;2;3379134;1224;1236;91347;543;1330546;61647,61647
Pichia kudriavzevii,10812555,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Pichiales;Pichiaceae;Pichia;Pichia kudriavzevii,131567;2759;33154;4751;451864;4890;716545;147537;3239874;3243775;1156497;4919;4909,4909
Serratia liquefaciens,10801225,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia liquefaciens,131567;2;3379134;1224;1236;91347;1903411;613;614,614
Staphylococcus haemolyticus,10762108,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus haemolyticus,131567;2;1783272;1239;91061;1385;90964;1279;1283,1283
Lactococcus garvieae,10734495,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus garvieae,131567;2;1783272;1239;91061;186826;1300;1357;1363,1363
Niallia circulans,10638997,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Niallia;Niallia circulans,131567;2;1783272;1239;91061;1385;186817;2837506;1397,1397
Meyerozyma guilliermondii ATCC 6260,10609954,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Meyerozyma;Meyerozyma guilliermondii;Meyerozyma guilliermondii ATCC 6260,131567;2759;33154;4751;451864;4890;716545;147537;3239874;2916678;766764;766728;4929;294746,294746
Gordonia bronchialis,10606068,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia;Gordonia bronchialis,131567;2;1783272;201174;1760;85007;85026;2053;2054,2054
Staphylococcus saprophyticus,10504262,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus saprophyticus,131567;2;1783272;1239;91061;1385;90964;1279;29385,29385
Phocaeicola vulgatus,10500537,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus,131567;2;3379134;1783270;68336;976;200643;171549;815;909656;821,821
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,10305545,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Typhimurium;Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,131567;2;3379134;1224;1236;91347;543;590;28901;59201;90371;1620419,1620419
Lactococcus lactis,10278582,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis,131567;2;1783272;1239;91061;186826;1300;1357;1358,1358
Legionella pneumophila,10255742,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila,131567;2;3379134;1224;1236;118969;444;445;446,446
Thomasclavelia ramosa,10214654,cellular organisms;Bacteria;Bacillati;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Thomasclavelia;Thomasclavelia ramosa,131567;2;1783272;1239;526524;526525;2810280;3025755;1547,1547
Campylobacter jejuni,10194638,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter jejuni,131567;2;3379134;29547;3031852;213849;72294;194;197,197
Enterobacter roggenkampii,10107797,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter roggenkampii,131567;2;3379134;1224;1236;91347;543;547;354276;1812935,1812935
Citrobacter portucalensis,10091992,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii complex;Citrobacter portucalensis,131567;2;3379134;1224;1236;91347;543;544;1344959;1639133,1639133
Serratia rubidaea,10051188,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia rubidaea,131567;2;3379134;1224;1236;91347;1903411;613;61652,61652
Enterobacter cancerogenus,10001324,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter cancerogenus,131567;2;3379134;1224;1236;91347;543;547;354276;69218,69218
Yersinia frederiksenii,9934709,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia frederiksenii,131567;2;3379134;1224;1236;91347;1903411;629;29484,29484
Citrobacter werkmanii,9934402,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii complex;Citrobacter werkmanii,131567;2;3379134;1224;1236;91347;543;544;1344959;67827,67827
Amycolatopsis sp. FDAARGOS 1241,9798102,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;unclassified Amycolatopsis;Amycolatopsis sp. FDAARGOS 1241,131567;2;1783272;201174;1760;85010;2070;1813;2618356;2778070,2778070
Zygosaccharomyces rouxii,9764635,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces rouxii,131567;2759;33154;4751;451864;4890;716545;147537;4891;4892;4893;4953;4956,4956
Salmonella enterica subsp. enterica serovar Heidelberg,9760041,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Heidelberg,131567;2;3379134;1224;1236;91347;543;590;28901;59201;611,611
Vibrio fluvialis,9695281,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio fluvialis,131567;2;3379134;1224;1236;135623;641;662;676,676
Enterobacter ludwigii,9674153,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter ludwigii,131567;2;3379134;1224;1236;91347;543;547;354276;299767,299767
Aeromonas hydrophila,9660967,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas hydrophila,131567;2;3379134;1224;1236;135624;84642;642;644,644
Paracoccus yeei,9519411,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;Paracoccus yeei,131567;2;3379134;1224;28211;204455;31989;265;147645,147645
Hafnia paralvei,9428208,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia;Hafnia paralvei,131567;2;3379134;1224;1236;91347;1903412;568;546367,546367
Escherichia fergusonii,9190471,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii,131567;2;3379134;1224;1236;91347;543;561;564,564
Legionella anisa,9012496,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella anisa,131567;2;3379134;1224;1236;118969;444;445;28082,28082
Paraburkholderia fungorum,9009624,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia fungorum,131567;2;3379134;1224;28216;80840;119060;1822464;134537,134537
Pediococcus pentosaceus,8968357,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;Pediococcus pentosaceus,131567;2;1783272;1239;91061;186826;33958;1253;1255,1255
Stutzerimonas stutzeri,8962333,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas;Stutzerimonas stutzeri group;Stutzerimonas stutzeri subgroup;Stutzerimonas stutzeri,131567;2;3379134;1224;1236;72274;135621;2901164;136846;578833;316,316
Nocardia brasiliensis,8935513,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia;Nocardia brasiliensis,131567;2;1783272;201174;1760;85007;85025;1817;37326,37326
Neisseria gonorrhoeae,8909808,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria gonorrhoeae,131567;2;3379134;1224;28216;206351;481;482;485,485
Sphingomonas paucimobilis,8883130,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas paucimobilis,131567;2;3379134;1224;28211;204457;41297;13687;13689,13689
Vibrio mimicus,8870790,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio mimicus,131567;2;3379134;1224;1236;135623;641;662;674,674
Cryptosporidium hominis TU502,8743570,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Cryptosporidiidae;Cryptosporidium;Cryptosporidium hominis;Cryptosporidium hominis TU502,131567;2759;2698737;33630;5794;1280412;5796;75739;423054;35082;5806;237895;353151,353151
Myroides odoratus,8410197,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Myroides;Myroides odoratus,131567;2;3379134;1783270;68336;976;117743;200644;49546;76831;256,256
Pneumocystis jirovecii RU7,8396240,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis;Pneumocystis jirovecii;Pneumocystis jirovecii RU7,131567;2759;33154;4751;451864;4890;451866;147553;37987;44281;4753;42068;1408657,1408657
Legionella longbeachae,8328188,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella longbeachae,131567;2;3379134;1224;1236;118969;444;445;450,450
Staphylococcus cohnii,8235322,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus cohnii species complex;Staphylococcus cohnii,131567;2;1783272;1239;91061;1385;90964;1279;3239053;29382,29382
Staphylococcus pseudintermedius,8232495,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus intermedius group;Staphylococcus pseudintermedius,131567;2;1783272;1239;91061;1385;90964;1279;2815305;283734,283734
Alcaligenes faecalis,8145822,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;Alcaligenes faecalis,131567;2;3379134;1224;28216;80840;506;507;511,511
Corynebacterium minutissimum,8117287,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium minutissimum,131567;2;1783272;201174;1760;85007;1653;1716;38301,38301
Mycobacterium dioxanotrophicus,8080416,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium dioxanotrophicus,131567;2;1783272;201174;1760;85007;1762;1763;482462,482462
Edwardsiella tarda,8041250,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Edwardsiella;Edwardsiella tarda,131567;2;3379134;1224;1236;91347;1903412;635;636,636
Bacteroides eggerthii,8000418,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii,131567;2;3379134;1783270;68336;976;200643;171549;815;816;28111,28111
Mycobacterium aquaticum,7927592,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium aquaticum,131567;2;1783272;201174;1760;85007;1762;1763;1927124,1927124
Staphylococcus carnosus,7915958,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus carnosus,131567;2;1783272;1239;91061;1385;90964;1279;1281,1281
Acinetobacter nosocomialis,7905299,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;Acinetobacter nosocomialis,131567;2;3379134;1224;1236;2887326;468;469;909768;106654,106654
Enterovirus A71,7818171,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus A;Enterovirus A71,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;138948;39054,39054
Mammaliicoccus vitulinus,7743837,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Mammaliicoccus;Mammaliicoccus vitulinus,131567;2;1783272;1239;91061;1385;90964;2803850;71237,71237
Mycobacterium gordonae,7601632,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium gordonae,131567;2;1783272;201174;1760;85007;1762;1763;1778,1778
Staphylococcus capitis,7578657,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis,131567;2;1783272;1239;91061;1385;90964;1279;29388,29388
Micrococcus luteus,7458594,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus luteus,131567;2;1783272;201174;1760;85006;1268;1269;1270,1270
Corynebacterium kroppenstedtii,7442398,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium kroppenstedtii,131567;2;1783272;201174;1760;85007;1653;1716;161879,161879
Cupriavidus necator,7415967,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus necator,131567;2;3379134;1224;28216;80840;119060;106589;106590,106590
Nocardia asteroides,7415900,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia;Nocardia asteroides,131567;2;1783272;201174;1760;85007;85025;1817;1824,1824
Malassezia restricta,7369627,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia restricta,131567;2759;33154;4751;451864;5204;452284;1538075;162474;742845;55193;76775,76775
Campylobacter coli,7359708,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter coli,131567;2;3379134;29547;3031852;213849;72294;194;195,195
Corynebacterium tuberculostearicum,7294409,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium tuberculostearicum,131567;2;1783272;201174;1760;85007;1653;1716;38304,38304
Burkholderia humptydooensis,7286661,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group;Burkholderia humptydooensis,131567;2;3379134;1224;28216;80840;119060;32008;111527;430531,430531
Delftia lacustris,7274508,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia lacustris,131567;2;3379134;1224;28216;80840;80864;80865;558537,558537
Mycobacterium paragordonae,7224251,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium paragordonae,131567;2;1783272;201174;1760;85007;1762;1763;1389713,1389713
Bacteroides koreensis,7181066,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis,131567;2;3379134;1783270;68336;976;200643;171549;815;816;1912896,1912896
Achromobacter pestifer,7177303,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter pestifer,131567;2;3379134;1224;28216;80840;506;222;1353889,1353889
Bacteroides kribbi,7176701,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides kribbi,131567;2;3379134;1783270;68336;976;200643;171549;815;816;1912894,1912894
Acinetobacter haemolyticus,7154303,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter haemolyticus,131567;2;3379134;1224;1236;2887326;468;469;29430,29430
Corynebacterium urealyticum,7132436,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium urealyticum,131567;2;1783272;201174;1760;85007;1653;1716;43771,43771
Fusobacterium canifelinum,7129608,cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium canifelinum,131567;2;3384189;32066;203490;203491;203492;848;285729,285729
Mycolicibacterium goodii,7105933,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium goodii,131567;2;1783272;201174;1760;85007;1762;1866885;134601,134601
Acinetobacter ursingii,7099711,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter ursingii,131567;2;3379134;1224;1236;2887326;468;469;108980,108980
Enterococcus gallinarum,7096408,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus gallinarum,131567;2;1783272;1239;91061;186826;81852;1350;1353,1353
Bacteroides oleiciplenus,7087734,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides oleiciplenus,131567;2;3379134;1783270;68336;976;200643;171549;815;816;626931,626931
Pseudomonas protegens,7075815,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas chlororaphis group;Pseudomonas protegens,131567;2;3379134;1224;1236;72274;135621;286;136842;380021,380021
Bacteroides timonensis,7017222,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides timonensis,131567;2;3379134;1783270;68336;976;200643;171549;815;816;1470345,1470345
Achromobacter deleyi,6987272,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter deleyi,131567;2;3379134;1224;28216;80840;506;222;1353891,1353891
Mycolicibacterium hodleri,6986390,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium hodleri,131567;2;1783272;201174;1760;85007;1762;1866885;49897,49897
Mycolicibacterium porcinum,6977991,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium porcinum,131567;2;1783272;201174;1760;85007;1762;1866885;39693,39693
Cupriavidus metallidurans,6941396,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus metallidurans,131567;2;3379134;1224;28216;80840;119060;106589;119219,119219
Burkholderia vietnamiensis,6930411,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia cepacia complex;Burkholderia vietnamiensis,131567;2;3379134;1224;28216;80840;119060;32008;87882;60552,60552
Mycobacterium bourgelatii,6912804,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium bourgelatii,131567;2;1783272;201174;1760;85007;1762;1763;1273442,1273442
Achromobacter insolitus,6893045,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter insolitus,131567;2;3379134;1224;28216;80840;506;222;217204,217204
Mycobacterium riyadhense,6888178,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium riyadhense,131567;2;1783272;201174;1760;85007;1762;1763;486698,486698
Bacillus sp. FDAARGOS_1420,6754466,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;unclassified Bacillus (in: firmicutes);Bacillus sp. FDAARGOS_1420,131567;2;1783272;1239;91061;1385;186817;1386;185979;2856338,2856338
Mycolicibacterium frederiksbergense,6713618,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium frederiksbergense,131567;2;1783272;201174;1760;85007;1762;1866885;117567,117567
Mycobacterium szulgai,6672659,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium szulgai,131567;2;1783272;201174;1760;85007;1762;1763;1787,1787
Enterocloster bolteae,6613968,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae,131567;2;1783272;1239;186801;3085636;186803;2719313;208479,208479
Paraburkholderia ginsengisoli,6597255,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia ginsengisoli,131567;2;3379134;1224;28216;80840;119060;1822464;311231,311231
Streptococcus salivarius,6577636,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus salivarius,131567;2;1783272;1239;91061;186826;1300;1301;1304,1304
Mycobacterium kansasii ATCC 12478,6577228,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium kansasii;Mycobacterium kansasii ATCC 12478,131567;2;1783272;201174;1760;85007;1762;1763;1768;557599,557599
Bacteroides xylanisolvens,6558523,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens,131567;2;3379134;1783270;68336;976;200643;171549;815;816;371601,371601
Mycobacterium nebraskense,6539988,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium nebraskense,131567;2;1783272;201174;1760;85007;1762;1763;244292,244292
Prevotella melaninogenica,6521217,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella melaninogenica,131567;2;3379134;1783270;68336;976;200643;171549;171552;838;28132,28132
Pseudomonas sp. FDAARGOS_380,6499364,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;unclassified Pseudomonas;Pseudomonas sp. FDAARGOS_380,131567;2;3379134;1224;1236;72274;135621;286;196821;2018067,2018067
