taxon_name,total_bases,full_lineage,taxid_lineage,taxid
rhinovirus C47,7081,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;rhinovirus C47,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;2035045,2035045
rhinovirus B83,7077,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus B;rhinovirus B83,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;147712;185936,185936
rhinovirus C28,7075,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;rhinovirus C28,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;1418042,1418042
Rhinovirus C41,7070,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;Rhinovirus C41,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;2045078,2045078
Human rhinovirus sp.,7040,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;unclassified Rhinovirus;Human rhinovirus sp.,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;348531;169066,169066
rhinovirus C32,7039,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;rhinovirus C32,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;1219405,1219405
rhinovirus A82,7033,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus A;rhinovirus A82,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;147711;167322,167322
rhinovirus C10,7010,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;rhinovirus C10,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;1219419,1219419
Keystone virus,6963,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Orthobunyavirus keystoneense;Keystone virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;3052406;35514,35514
Melao virus,6957,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Orthobunyavirus melajoense;Melao virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;3052420;35515,35515
Human rhinovirus NAT001,6944,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Rhinovirus C;rhinovirus C1;Human rhinovirus NAT001,10239;2559587;2732396;2732408;2732506;464095;12058;2946630;12059;463676;1219416;992230,992230
Marituba virus,6936,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Orthobunyavirus maritubaense;Marituba virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;3052418;292278,292278
Tataguine virus,6925,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Orthobunyavirus tataguineense;Tataguine virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;3052446;1623310,1623310
Cache Valley virus,6871,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Orthobunyavirus cacheense;Cache Valley virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;3052385;80935,80935
Caraparu virus,6850,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Orthobunyavirus caraparuense;Caraparu virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;3052387;192196,192196
Umbre virus,6828,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Orthobunyavirus;Orthobunyavirus turlockense;Umbre virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980416;11572;3052452;552554,552554
Human astrovirus,6813,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae;Human astrovirus,10239;2559587;2732396;2732408;2732507;2732551;39733;352926;1868658,1868658
Cosavirus F,6656,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Cosavirus;Cosavirus F,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;586418;2003652,2003652
Tacheng Tick Virus 2,6656,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Uukuvirus;Uukuvirus tachengense;Tacheng Tick Virus 2,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;2734594;3052808;1608084,1608084
Astrovirus VA1,6586,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus 9;Astrovirus VA1,10239;2559587;2732396;2732408;2732507;2732551;39733;249588;1239573;645687,645687
Cosavirus E,6580,Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Cosavirus;Cosavirus E,10239;2559587;2732396;2732408;2732506;464095;12058;2946627;586418;2003651,2003651
Human astrovirus BF34,6577,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;unclassified Mamastrovirus;Burkina Faso astrovirus;Human astrovirus BF34,10239;2559587;2732396;2732408;2732507;2732551;39733;249588;526119;1518574;1518575,1518575
HMO Astrovirus A,6534,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;unclassified Mamastrovirus;HMO Astrovirus A,10239;2559587;2732396;2732408;2732507;2732551;39733;249588;526119;682382,682382
Kurkino virus,6532,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus dobravaense;Kurkino virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980413;2560074;1980442;3052477;3116880,3116880
Torque teno virus,6459,Viruses;Anelloviridae;unclassified Anelloviridae;Torque teno virus,10239;687329;363628;68887,68887
Tobacco mosaic virus,6395,Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Virgaviridae;Tobamovirus;Tobacco mosaic virus,10239;2559587;2732396;2732406;2732461;2732544;675071;12234;12242,12242
Hepatitis B virus,6364,Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Orthohepadnavirus;Hepatitis B virus,10239;2559587;2732397;2732409;2732514;2732515;10404;10405;10407,10407
Bhanja virus,6333,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Bandavirus;Bandavirus bhanjanagarense;Bhanja virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;2733256;3051989;1213620,1213620
Astrovirus MLB1,6171,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus 6;Astrovirus MLB1,10239;2559587;2732396;2732408;2732507;2732551;39733;249588;1239570;568715,568715
Balkan virus,6092,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Phlebovirus;Sandfly fever Naples phlebovirus;Balkan virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980418;11584;1933189;2034201,2034201
Plasmodium vivax Sal-1,5990,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium (Plasmodium);Plasmodium vivax;Plasmodium vivax Sal-1,131567;2759;2698737;33630;5794;422676;5819;1639119;5820;418103;5855;126793,126793
New York virus,5746,Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus sinnombreense;New York virus,10239;2559587;2732396;2497569;2497571;2497576;1980410;1980413;2560074;1980442;3052499;44755,44755
Human parvovirus B19,5596,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus primate1;Human parvovirus B19,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;40121;3052189;10798,10798
Betapolyomavirus macacae,5557,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Betapolyomavirus;Betapolyomavirus macacae,10239;2731342;2732092;2732415;2732421;2732532;151341;1891714;1891767,1891767
Bovine parvovirus 3,5426,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Erythroparvovirus;Erythroparvovirus ungulate1;Bovine parvovirus 3,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;40121;3052194;172297,172297
Merkel cell polyomavirus,5387,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Alphapolyomavirus;Alphapolyomavirus quintihominis;Merkel cell polyomavirus,10239;2731342;2732092;2732415;2732421;2732532;151341;1891713;1891726;493803,493803
Human bocavirus WLL-3,5297,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Human bocavirus;Human bocavirus WLL-3,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1507401;1507402;329641;444473,444473
Human bocavirus WLL-1,5297,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Human bocavirus;Human bocavirus WLL-1,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1507401;1507402;329641;394504,394504
Human bocavirus WLL-2,5297,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Human bocavirus;Human bocavirus WLL-2,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1507401;1507402;329641;430048,430048
Human bocavirus isolate SH2,5277,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Human bocavirus;Human bocavirus isolate SH2,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1507401;1507402;329641;1108926,1108926
Human bocavirus isolate SH1,5276,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus;Human bocavirus;Human bocavirus isolate SH1,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1507401;1507402;329641;1108925,1108925
LI polyomavirus,5269,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Alphapolyomavirus;Alphapolyomavirus quardecihominis;LI polyomavirus,10239;2731342;2732092;2732415;2732421;2732532;151341;1891713;2734294;1965344,1965344
Human parvovirus 4 G1,5268,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Tetraparvovirus;Tetraparvovirus primate1;Human parvovirus 4 G1,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1511911;3052770;1511919,1511919
Human bocavirus 3,5242,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Parvovirinae;Bocaparvovirus;Bocaparvovirus primate1;Human bocavirus 3,10239;2731342;2732092;2732415;2732422;2732534;10780;40119;1507401;3052040;638313,638313
Trichodysplasia spinulosa-associated polyomavirus,5232,Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae;Alphapolyomavirus;Alphapolyomavirus octihominis;Trichodysplasia spinulosa-associated polyomavirus,10239;2731342;2732092;2732415;2732421;2732532;151341;1891713;1891727;862909,862909
