taxid,contig_count,total_bp,Code,Name,Lineage,LineageTaxIDs,Rank,FullLineage,FullLineageTaxIDs,FullLineageRanks
2054.0,3,10606068,2054.0,Gordonia bronchialis,Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia;Gordonia bronchialis,2;201174;1760;85007;85026;2053;2054,species,cellular organisms;Bacteria;Terrabacteria group;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia;Gordonia bronchialis,131567;2;1783272;201174;1760;85007;85026;2053;2054,no rank;superkingdom;clade;phylum;class;order;family;genus;species
29385.0,12,10504262,29385.0,Staphylococcus saprophyticus,Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus saprophyticus,2;1239;91061;1385;90964;1279;29385,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus saprophyticus,131567;2;1783272;1239;91061;1385;90964;1279;29385,no rank;superkingdom;clade;phylum;class;order;family;genus;species
821.0,3,10500537,821.0,Phocaeicola vulgatus,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus,2;976;200643;171549;815;909656;821,species,cellular organisms;Bacteria;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus,131567;2;1783270;68336;976;200643;171549;815;909656;821,no rank;superkingdom;clade;clade;phylum;class;order;family;genus;species
34062.0,122,10337686,34062.0,Moraxella osloensis,Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella osloensis,2;1224;1236;2887326;468;475;34062,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella;Moraxella osloensis,131567;2;1224;1236;2887326;468;475;34062,no rank;superkingdom;phylum;class;order;family;genus;species
1620419.0,8,10305545,1620419.0,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica,2;1224;1236;91347;543;590;28901,no rank,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Typhimurium;Salmonella enterica subsp. enterica serovar Typhimurium var. 5-,131567;2;1224;1236;91347;543;590;28901;59201;90371;1620419,no rank;superkingdom;phylum;class;order;family;genus;species;subspecies;no rank;no rank
1358.0,17,10278582,1358.0,Lactococcus lactis,Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis,2;1239;91061;186826;1300;1357;1358,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis,131567;2;1783272;1239;91061;186826;1300;1357;1358,no rank;superkingdom;clade;phylum;class;order;family;genus;species
446.0,4,10255742,446.0,Legionella pneumophila,Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila,2;1224;1236;118969;444;445;446,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila,131567;2;1224;1236;118969;444;445;446,no rank;superkingdom;phylum;class;order;family;genus;species
45972.0,37,10222242,45972.0,Staphylococcus pasteuri,Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus pasteuri,2;1239;91061;1385;90964;1279;45972,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus pasteuri,131567;2;1783272;1239;91061;1385;90964;1279;45972,no rank;superkingdom;clade;phylum;class;order;family;genus;species
1547.0,3,10214654,1547.0,Thomasclavelia ramosa,Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Thomasclavelia;Thomasclavelia ramosa,2;1239;526524;526525;2810280;3025755;1547,species,cellular organisms;Bacteria;Terrabacteria group;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Thomasclavelia;Thomasclavelia ramosa,131567;2;1783272;1239;526524;526525;2810280;3025755;1547,no rank;superkingdom;clade;phylum;class;order;family;genus;species
197.0,7,10194638,197.0,Campylobacter jejuni,Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter jejuni,2;29547;3031852;213849;72294;194;197,species,cellular organisms;Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter jejuni,131567;2;29547;3031852;213849;72294;194;197,no rank;superkingdom;phylum;class;order;family;genus;species
1812935.0,14,10107797,1812935.0,Enterobacter roggenkampii,Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter roggenkampii,2;1224;1236;91347;543;547;1812935,species,cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae complex;Enterobacter roggenkampii,131567;2;1224;1236;91347;543;547;354276;1812935,no rank;superkingdom;phylum;class;order;family;genus;species group;species
